Название;Слот;Группа артефакта;Суть
Оковы Лемминга;Предмет 2;Темное Управление;Выберите два существа не выше 15-ого уровня. Вы теряете часть манны. Если одно получает урон, другое автоматически получает урон в том же объеме. 
Сапоги Опаленной Земли;Ноги;Темное Управление;Вы можете в любой момент беспрепятственно покинуть поле боя.
Посох Проклятия Смотрителей Маяка;Первая рука;Темное Управление;Заклинания «Болезнь из болот», «Болотный огонек», «Аура страха», «Нечестивый яд» и «Чума» многократно усиливаются. Если вы находитесь недалеко от водоема, вы получаете контроль над всеми привидениями на поле боя.
Сапоги из Толстого Кирпича с Серебряной Застежкой;Ноги;Мечта Политика;Усиливает Дипломатию, дает +10% к стоимости вещей при продаже. Вам легче набирать армию.
Кольцо Толстого Кирпича;Кольцо на правую руку;Мечта Политика;Усиливает Дипломатию, дает -10% к стоимости вещей при покупке. Вам легче удерживать армию и ваших подчиненных.
Фрагмент Врат Безумия;Предмет 3;Странствующий Философ;Заклинание «Берсерк» теперь заставляет цель атаковать только те цели, которые выгодно вам.
Шлем Воспоминаний;Голова;Странствующий Философ;Если вы получили какое-либо знание во временное пользование, оно все равно остается постоянным.
Кольцо Древности;Кольцо на правую руку;Странствующий Философ;Все ваши заклинания становятся Древними, хотя их сила от этого не увеличивается.
Клинок Близкого Лезвия;Первая рука;Странствующий Философ;Ваш урон в стрелковом бою ослабевает в два раза, а урон в ближнем бою усиливается в полтора раза.
Кристалл Пробуждения;Предмет 1;Странствующий Философ;Значительно усиливает ваши навыки Некромантии, а также в заклинаниях «Чудесное спасение» и «Хранитель».
Сердце Рассвета;Предмет 2;Странствующий Философ;Вы можете менять тип заклинания со Света на Тьму и наоборот.
Ожерелье Величест-венного Испытания;Шея;Странствующий Философ;Если вы сражаетесь с существом достаточно высокого уровня, вы получаете некоторый шанс уклониться от его ударов. Утраивается шанс обучения в бою.
Книга Чудесных историй;Вторая рука;Странствующий Философ;В ней можно встретить различные советы, а также предсказания. Правда, они с шансом 25% оказываются ложными.
Плащ Печального Проповедника;Плечи;Странствующий Философ;Ваша Дипломатия может ослаблять Дипломатию любой цели.
Рюкзак Обезумевшего Учителя;Спина;Странствующий Философ;Любой предмет, помещенный в этот рюкзак, исчезает навсегда с шансом 20%. Если он не исчез, он теряет все наложенные на него зачарования и приобретает новое случайное зачарование.
Кольцо из Проводов Жизни;Кольцо на левую руку;Странствующий Философ;Вы обладаете регенерацией (заклинание «Регенерация») и вампиризмом (заклинание «Вампиризм»), причем эти эффекты с вас никак нельзя снять.
Сапоги Танцующего Рассвета;Ноги;Странствующий Философ;Если вы наложили заклинание магии Воздуха, вы также можете наложить любое заклинание Призыва одновременно с ним.
Жезл Жреца Цензуры;Первая рука;Горящий Металл;Ваши соперники произносят заклинания дольше.
Древняя Гитара;Вторая рука;Горящий Металл;Дает небольшой бонус ко всем характеристикам. Вы можете уничтожить этот артефакт. Если вы это делаете, вы можете получить один совет от «Свитка Тайного», правда, потеряете после этого половину своего здоровья.
Накидка из шкуры Снежного Пса;Плечи;Горящий Металл;Бонус к Воинству и Плутовству, если битва происходит под землей.
Старинная Книга с Подсказками;Предмет 1;Горящий Металл;Вы можете узнать любую информацию о любом существе не выше 15-ого уровня, в том числе и о каком-либо конкретном, если оно в зоне вашей видимости.
Кувшин с Небесным Напитком;Предмет 2;Горящий Металл;Подсвечивает все артефакты в небольшом радиусе, правда, с шансом 25% уничтожает найденным таким образом артефакт.
Прототип артефакта «Лебедь Х-1»;Предмет 3;Горящий Металл;Вы больше не тратите манну на заклинания «Волнение Земли» и «Шок Земли», а время их перезарядки сокращается вдвое.
Шляпа с Перьями Благородной Птицы;Голова;Горящий Металл;Вы игнорируете бонусы, которые получает Плут при атаке из засады или Скрытности.
Острие Неопреде-ленного Ножа;Первая рука;Безымянный Гений;Копирует бонус случайного артефакта, которым вы обладаете.
Кулон Бесконечной Тайны;Шея;Безымянный Гений;Информация о вас не может быть получена никакими предметами (кроме Е).
Травинка за Стеклом;Предмет 1;Безымянный Гений;Вы имеете вдвое больший шанс пробить броню противника.
Кольцо Небесного Смеха;Кольцо на левую руку;Безымянный Гений;На вас не действуют заклинания «Скорбь» и «Аура страха».
Щит Громилы Бенни;Вторая рука;Безымянный Гений;На соперника, уничтоженного вами, не работает заклинание «Чудесное спасение».
Корона Багрового Короля;Голова;Древние Изобретения;Вы получаете +100% к запасу манны. Любое убитое вами существо восстанавливает часть вашей манны.
Свиристель Говорящего Ветра;Предмет 1;Древние Изобретения;Чем выше ваша скорость, тем сильнее ваши заклинания.
Хвост Магической Прыткой Ящерицы;Предмет 2;Древние Изобретения;Нельзя носить вместе с «Носками Величайшего Александра», «Портретом Весьма Неглупого, Скорее Очень Умного Александра», «Кружкой с изображением гепарда» и «Поводком для ручного гепарда». Значительно увеличивает вашу скорость и реакцию, если вы не сражаетесь с рептилиями (в т.ч. драконами).
Кирпич из Стены Пророков;Предмет 3;Древние Изобретения;Вы можете потратить часть вашей манны, чтобы увеличить вашу скорость.
Ботинки с Магматической Подошвой;Ноги;Непереводимое Название;Вы не можете лишиться Скрытности каким-либо способом, также вашу Скрытность нельзя никак ослабить. На вас не действуют заклинания и вещи, которые хотят обнаружить ваше местоположение (кроме «Свитка Тайного» и его аналогов, а также вещей, дающих советы).
Очки Разруши-тельного Механика;Голова;Непереводимое Название;Вы игнорируете действие не более чем трех артефактов противника.
Кобайское Кольцо;Кольцо на правую руку;Непереводимое Название;Соперники лишаются возможности использовать заклинания «Чтение рун» и «Союз с природой». Ослабляет Дипломатию, направленную на вас.
Таркус;Предмет 1;Стальной Броненосец;Вы можете наложить специальное заклинание, которое действует следующим образом: если вы уничтожили два существа 1-10 уровня одного вида, вы можете уничтожить третье существо того же вида автоматически.
Жало Мантикоры;Предмет 3;Стальной Броненосец;Есть шанс на нанесение удвоенного урона от удара существам 11-15 уровней.
Спектральный Факел;Предмет 2;Стальной Броненосец;Все существа, обладающие призрачностью, получают урон, подойдя к вам.
Мантия Тьмы;Плечи;Стальной Броненосец;Заклинание «Призыв ночи» теперь действует как массовое заклинание «Замедление», а также постепенно наносит небольшой урон всем существам Света (ангелы и т.д.)
Кольцо Ветров Времени;Кольцо на правую руку;Стальной Броненосец;Если вы потратите заряд Коммонита, вы можете увидеть все события ближайшего будущего (в пределах одного часа).
Хвост Крысиного Короля;Предмет 2;Королевский Набор;Заклинание «Дипломатия» может помочь вам избежать уничтожения, если вы сражаетесь с одним соперником и у вас осталось меньше 20% здоровья.
Свиток Пророка;Вторая рука;Королевский Набор;Вы можете видеть все артефакты противника.
Ожерелье из Клыков Огра;Шея;Королевский Набор;Вы можете носить мечи и броню вплоть до метеоритного железа, даже если не обладаете соответствующими навыками.
Уменьшенная Копия Велосипеда;Предмет 1;Величие и Мощь;Вы в любой момент можете призвать или уничтожить велосипед. На нем можно кататься.
Фрагмент Духовной Стены;Предмет 2;Величие и Мощь;Вы неуязвимы для заклинаний Разума, в т.ч. и Древних (например «Ослепление стрелка»).
Помешанный Алмаз;Предмет 3;Величие и Мощь;Вы можете выбрать любой эффект, лежащий на себе, и сделать его полностью неснимаемым ничем, кроме вещей с редкостью Е.
Ботинки Узкого Пути;Ноги;Величие и Мощь;Вы можете пройти пешком вдвое большее расстояние. На вас не действуют заклинания, направленные на затруднение передвижения, а также вы можете с некоторым шансом игнорировать ловушки, действующие, когда на них наступают.
Кулон Затмения;Шея;Величие и Мощь;Все заклинания магии Света и Тьмы действуют эффективнее.
Блюдце с Секретом;Спина;Величие и Мощь;Вы тратите часть манны. Вызывает случайное существо (не выше 15-ого уровня) настроенное к вам случайным образом.
Колокол Разделения;Вторая рука;Величие и Мощь;Вы можете игнорировать любую фракцию любого существа, и никто не может использовать минусы вашей фракции.
Ботинки с Гномом;Ноги;Свобода и Равенство;После удара по вам из чего-либо оно дольше перезаряжается.
Кольцо с Древней Плазмой;Кольцо на правую руку;Свобода и Равенство;Уменьшает время, необходимое на перезарядку арбалета и/или выстрела из лука.
Черная Книга с Белым Текстом;Первая рука;Свобода и Равенство;Уменьшает время, которое тратится на произнесение вами заклинаний.
Сфера Девяти Кругов;Предмет 2;Ярость Пламени;Вы невосприимчивы к заклинанию «Карающая Волна». Более того, оно восстанавливает ваше здоровье, даже если его наложил ваш союзник.
Плащ Темного Путешествия;Плечи;Ярость Пламени;На вас не действуют никакие заклинания Разума (кроме «Принужденное Подчинение»), а также на вас не действует вражеская Дипломатия. При сражении с соперником, сильнее чем вы, вы получаете бонус к количеству здоровья.
Меч Мрачной Метели;Первая рука;Ярость Пламени;Если бой продолжается достаточно долго, вы получаете бонус к защите и реакции.
Кольцо Преданности;Кольцо на правую руку;Ярость Пламени;Увеличивает урон вашей армии по любой непосредственно атакующей вас цели.
Сверхзвуковое ожерелье;Шея;Ярость Пламени;Увеличивает вашу скорость и реакцию.
Кристалл Духовной Связи;Предмет 1;Свет и Тьма;Вы можете сменить свою точку возрождения на любое место, где вы уже были. Снижает цену за возрождение.
Меч Блуждающего Света;Первая рука;Свет и Тьма;Все заклинания Света становятся эффективнее.
Щит Темнейшей Совы;Вторая рука;Свет и Тьма;Все заклинания Тьмы становятся эффективнее.
Острый Винт;Предмет 2;Корабельное Мастерство;Во время сражений вблизи водоемов или на корабле вы получаете способность использовать часть заклинаний (выбираются случайным образом), которые известны кому-либо на поле боя. Такие заклинания несколько теряют в эффективности.
Чемодан Почтового Кита;Вторая рука;Корабельное Мастерство;Значительно увеличивает дальность передвижения по воде (на корабле). Также во время плавания на корабле усиливает все заклинания магии Воды.
Упрямый Компас;Предмет 3;Корабельное Мастерство;Вы можете подсветить одну цель (это не может быть существом или героем). Вы никогда не потеряете ее из виду.
Кувшин с Маслом;Предмет 1;Бескорыстное Зло;Уничтожьте любое союзное существо. Вы можете уничтожить вражеское существо того же уровня (или меньшего).
Плащ из шерсти Говорящего Кота;Плечи;Бескорыстное Зло;Часть вражеской армии перестает вас атаковать.
Цилиндр Наитем-нейшего Мастера;Голова;Бескорыстное Зло;Городские ворота и стены становятся менее прочными.
Рюкзак из Свежего Сена;Спина;Помощь Лошадям;+100% к дальности передвижения лошади. Вашу лошадь невозможно уничтожить большинством заклинаний.
Волшебная Подкова;Предмет 1;Помощь Лошадям;+100% к дальности передвижения лошади. Вашу лошадь невозможно угнать.
Бестолковый меч;Первая рука;-;Все ваши мечи превращаются в луки и наоборот. Если вы пожелаете отменить этот эффект, в течение 10 минут вам придется сражаться врукопашную луком и стрелять (кидать) мечом.
Панцирь сверхскоростной черепахи;Спина;-;Дает сначала -1% к скорости, потом +2% к скорости, потом -3%, +4%... Со временем эффект возрастает. После достижения им +500% меняется на -500% и так далее.
Позолоченная крыса на веревочке;Вторая рука;-;Все мыши и крысы не могут причинить вам вреда.
Книга с раздавленной мухой посередине;Вторая рука;-;Любое наложенное вами заклинание с некоторым шансом превратится в заклинание «Рука смерти», вне зависимости от цели (если цель невосприимчива к данному заклинанию, то заклинание просто не сработает).
Костыли высокого прыжка;Предмет 2;-;С некоторым шансом, если вы подпрыгнете, вы сможете узнать местонахождение ближайшего не принадлежащего никому артефакта. При каждом вашем прыжке есть небольшой шанс потерять часть здоровья или манны.
Кольцо в виде наполовину не безногого паука;Кольцо на левую руку;-;Вы можете уничтожить этот артефакт. Если вы это делаете, каждый герой на поле боя либо теряет половину здоровья, либо половину манны.
Шприц антипрививочника;Предмет 1;-;Заклинания «Болезнь из болот», «Нечестивый яд» и «Чума» действуют на всех существ и героев на поле битвы, и действуют гораздо эффективнее.
Артефакт с надписью: «Сторгуй это незамедлительно!»;Предмет 3;-;Получив этот предмет, вы можете в любой момент обменять его на денежную сумму. Вы можете отказаться от этой возможности, в таком случае вы получаете возможность починить любой предмет.
Мокрая зажигалка;Предмет 2;-;Можно использовать огонь и огненные заклинания под водой и в дождь.
Шляпа Сбитых с Неба Звезд;Голова;-;Чем выше разница в уровне между вами и вашим соперником, тем выше ваша магическая защита. (Если ваш уровень выше, ваше здоровье понижается)
Кольцо «Глаз Крысы»;Кольцо на правую руку;-;Если вы обладаете кольцом «Струна Арфы», вы получаете возможность за заряд Коммонита сменить одно зелье на другое, если оно той же или меньшей редкости.
Кольцо «Струна Арфы»;Кольцо на левую руку;-;Вы можете потратить втрое больше манны на не Древние заклинания и Древние заклинания 1-3 уровней, чтобы заменить его на любое другое заклинание такого же уровня (даже то, которое вам не известно).
Воображаемая Броня;Спина;-;Это абсолютно воображаемая броня. Тем не менее, она заставляет надевшего ее чувствовать, что он защищен.
Жезл Абсолютной Случайности;Первая рука;-;При каждом использовании накладывает на вас случайный эффект, при этом с шансом 50% он отрицательный, а с шансом 50% - положительный. 
Книга Лепрекона;Вторая рука;-;Позволяет распознавать лепреконское золото.
Идеальная Маска;Голова;-;У вас очень красивое лицо до тех пор, пока вы носите эту маску.
Скрипка в виде лисицы;Вторая рука;-;Вместо конкретного заклинания вы можете наложить случайное заклинание того же уровня, потратив вдвое меньше манны (кроме Древних заклинаний 4 и 5 уровня).
Бусы из правильных икосаэдров;Шея;-;Если вы уничтожили 20 существ, вы получаете возможность наложить следующее заклинание без траты манны и задержки.
Куб преломления подавленности;Предмет 1;-;Ваши заклинания вроде «Огненной стрелы» могут поворачивать на 90 градусов.
Портрет эксцентричного лидера;Предмет 2;-;Вам проще нанимать армию, но она начинает постепенно дезертировать.
Карта Плоской Земли;Предмет 3;-;Пока вы носите этот артефакт, вы не можете путешествовать далеко от места, где вы его надели. В то же время, ускоряет путешествия на лошади.
Меч Безрукого Джонни;Первая рука;-;Вы можете пользоваться любым мечом, но не держа его в руках.
Ожерелье обезглав-ленного Чарли;Шея;-;Значительно понижает мораль вражеской армии.
Рюкзак с набором консервантов и красителей;Спина;-;На любую приготовленную вами еду может быть наложено негативное заклинание или яд (случайным образом, но только по вашему желанию). 
Сборник лозунгов;Вторая рука;-;Вы можете рассмешить собеседника абсурдными лозунгами. Варвары очень любят идти под такие лозунги в бой.
Поводок для ручного гепарда;Вторая рука;;Вы можете удержать таким образом любое существо не выше 15-ого уровня в своей армии.
Шлем из черепа со злой гадюкой;Голова;-;Вы можете уничтожить свою лошадь, но при этом получить все ее навыки на некоторое время, или же превратиться в лошадь того же вида.
Кольцо с надписью «Выходи за меня!»;Кольцо на правую руку;-;Вся нежить на поле боя теперь имеет мораль. Если надеть еще и Кольцо с надписью «Выходи за меня!», вы получаете возможность контролировать мораль собственной армии.
Кольцо с надписью «Когда рак на горе свистнет!»;Кольцо на левую руку;-;Никакие существа на поле боя теперь не подвержены действию морали. Если надеть еще и Кольцо с надписью «Когда рак на горе свистнет!», вы получаете возможность контролировать мораль собственной армии.
Кулон свинцовой тяжести;Шея;-;Вас сложно сдвинуть с места, пока вы этого не захотите.
Накидка с изображением черешни;Плечи;-;Чем ниже мораль у противника, тем ниже его здоровье.
Плащ каменщика;Плечи;-;После выполнения задания вы получаете временные бонусы ко всем характеристикам вместо оплаты.
Колода карт из киоска;Предмет 1;-;Вы можете немного влиять на все случайные способности и характеристики.
Рукопись сумасшедшего;Вторая рука;-;Вы можете иметь неограниченное количество манны, но пока вы обладаете этим навыком, ваши заклинания становятся очень слабыми.
Почти сгоревший свиток «Правила пожарной безопасности»;Вторая рука;-;На вас не действуют вражеские ловушки.
Кольцо со дна реки;Кольцо на правую руку;-;Вы можете одеть флакон с зельем в слот для плеч. Если вы это делаете, и зелье продержится там пару дней, то его эффективность возрастет.
Ожерелье из зубов беззубого зверя;Шея;-;На вас не действуют эффекты Псевдонорских артефактов, не входящих в какой-либо набор.
Обрубок меча с надписью «Сверхпроч-ный»;Первая рука;-;Теперь все вещи и артефакты на поле боя, кроме вещей с редкостью Е, проще сломать.
Луковый лук;Первая рука;-;Теперь на поле боя все стрелки не могут стрелять, пока вы или ваша армия/союзники не сделают первый выстрел.
Щит «Надежный, как швейцарские часы»;Вторая рука;-;Эффективность вашего щита теперь зависит от времени суток и времени года.
Кулон из клюва дятла;Ноги;-;Видимо, вам уже никакие артефакты не помогут, если вы одеваете кулон на ноги… Ну хотя… Вы получаете возможность узнать, где находится конкретный предмет с редкостью Е в данный момент, если вы потратите всю манну.
Лапти неутомимого странника;Ноги;-;Вы можете передвигаться только на лошади, но лошадь многократно ускоряется.
Макет скамейки мистера М.;Предмет 1;-;Вас гораздо сложнее обнаружить магическими методами: ищущие вас приходят не туда, куда рассчитывали.
Носки Величайшего Александра;Ноги;-;При использовании можно быстро переместиться на 42 метра, но ровно по прямой.
Кольцо Толстого Шмеля;Кольцо на правую руку;-;Вы можете накладывать два заклинания одновременно.
